DATE OCC,TIME OCC,AREA NAME,Total Score,LAT,LON
2020-01-06,3.0,Mission,45.0,34.23,-118.4402
2020-01-06,4.0,Hollywood,45.0,34.1006,-118.3417
2020-01-06,5.0,Hollywood,70.0,34.1035,-118.3147
2020-01-06,6.0,Topanga,140.0,34.1847,-118.5888
2020-01-06,8.0,Mission,25.0,34.3077,-118.4598
2020-01-06,8.0,Southwest,70.0,34.0146,-118.313
2020-01-06,9.0,Hollywood,25.0,34.1,-118.3056
2020-01-06,9.0,Topanga,25.0,34.2234,-118.5932
2020-01-06,10.0,Wilshire,25.0,34.0783,-118.3543
2020-01-06,11.0,Hollywood,70.0,34.0908,-118.3277
2020-01-06,11.0,Mission,70.0,34.2425,-118.44
2020-01-06,11.0,Wilshire,70.0,34.0761,-118.3563
2020-01-06,12.0,Hollywood,25.0,34.0944,-118.3593
2020-01-06,12.0,Mission,70.0,34.3108,-118.4282
2020-01-06,12.0,Southwest,140.0,34.0219,-118.3045
2020-01-06,13.0,Southwest,45.0,34.0311,-118.2749
2020-01-06,13.0,Wilshire,70.0,34.0623,-118.344
2020-01-06,14.0,Wilshire,210.0,34.0375,-118.3742
2020-01-06,15.0,Hollywood,25.0,34.0929,-118.3048
2020-01-06,15.0,Mission,70.0,34.239,-118.4481
2020-01-06,16.0,Southwest,45.0,34.0146,-118.3311
2020-01-06,16.0,Wilshire,45.0,34.0403,-118.3764
2020-01-06,17.0,Hollywood,70.0,34.1017,-118.3224
2020-01-06,17.0,Southwest,70.0,34.0149,-118.3524
2020-01-06,18.0,Southwest,140.0,34.0072,-118.3373
2020-01-06,18.0,Southwest,45.0,34.0306,-118.3519
2020-01-06,18.0,Wilshire,70.0,34.0708,-118.3563
2020-01-06,18.0,Wilshire,90.0,34.0624,-118.3525
2020-01-06,19.0,Mission,45.0,34.2215,-118.4588
2020-01-06,19.0,Southwest,45.0,34.0303,-118.3299
2020-01-06,19.0,Topanga,45.0,34.2029,-118.5943
2020-01-06,20.0,Mission,45.0,34.2428,-118.4675
2020-01-06,20.0,Topanga,45.0,34.1938,-118.5884
2020-01-06,20.0,Wilshire,70.0,34.0459,-118.3374
2020-01-06,21.0,Hollywood,70.0,34.1036,-118.3049
2020-01-06,22.0,Mission,45.0,34.2454,-118.4505
2020-01-06,22.0,Southwest,70.0,34.0169,-118.3161
2020-01-06,22.0,Wilshire,70.0,34.0761,-118.3626
2020-01-06,23.0,Hollywood,70.0,34.1016,-118.3333
2020-01-06,23.0,Southwest,70.0,34.0183,-118.3536
2020-01-07,0.0,Hollywood,140.0,34.0997,-118.335
2020-01-07,0.0,Mission,70.0,34.233,-118.4386
2020-01-07,0.0,Wilshire,25.0,34.0762,-118.3543
2020-01-07,6.0,Mission,70.0,34.2572,-118.4543
2020-01-07,7.0,Topanga,45.0,34.2047,-118.6044
2020-01-07,7.0,Wilshire,25.0,34.0418,-118.3248
2020-01-07,8.0,Wilshire,50.0,34.0511,-118.3373
2020-01-07,10.0,Topanga,90.0,34.1611,-118.6299
2020-01-07,11.0,Topanga,70.0,34.22,-118.5885
2020-01-07,12.0,Hollywood,70.0,34.0994,-118.3093
2020-01-07,12.0,Mission,90.0,34.3061,-118.4383
2020-01-07,12.0,Topanga,25.0,34.1912,-118.5941
2020-01-07,12.0,Wilshire,70.0,34.0364,-118.3601
2020-01-07,12.0,Wilshire,45.0,34.0761,-118.3594
2020-01-07,13.0,Southwest,70.0,34.0109,-118.3089
2020-01-07,13.0,Southwest,25.0,34.0348,-118.3118
2020-01-07,14.0,Mission,25.0,34.2165,-118.461
2020-01-07,14.0,Southwest,45.0,34.0337,-118.2915
2020-01-07,15.0,Mission,25.0,34.3167,-118.4752
2020-01-07,15.0,Southwest,45.0,34.036,-118.289
2020-01-07,15.0,Topanga,70.0,34.1569,-118.6058
2020-01-07,16.0,Wilshire,25.0,34.0782,-118.3573
2020-01-07,17.0,Hollywood,45.0,34.0944,-118.3201
2020-01-07,17.0,Hollywood,70.0,34.0864,-118.3059
2020-01-07,17.0,Mission,45.0,34.2265,-118.4565
2020-01-07,17.0,Mission,70.0,34.2689,-118.4429
2020-01-07,17.0,Southwest,70.0,34.0291,-118.3535
2020-01-07,18.0,Mission,45.0,34.3077,-118.4133
2020-01-07,18.0,Southwest,70.0,34.0282,-118.3133
